Respondent,SourceStimuliName,VisitedAOI,Dwell Start,Dwell End,Number of Fixations in Dwell,Number of Saccades in Dwell,Dwell Time
P1,SWA_Stimulus2,SWA_Stimulus2_Question,111024.9504,111899.8714,3,2,874.9210000000021
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Control,111899.8714,112299.8077,1,1,399.9363000000012
P1,SWA_Stimulus2,SWA_Stimulus2_Submission,113041.3935,114174.5967,3,3,1133.203199999989
P1,SWA_Stimulus2,SWA_Stimulus2_Current_Selection,114474.5649,114932.8573,2,2,458.2924000000057
P1,SWA_Stimulus2,SWA_Stimulus2_EventInfo,114932.8573,114966.1921,0,1,33.3347999999969
P1,SWA_Stimulus2,SWA_Stimulus2_Current_Selection,115866.0871,115874.4198,0,1,8.332699999999022
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Editor,116174.391,116307.7061,1,0,133.31509999999253
P1,SWA_Stimulus2,SWA_Stimulus2_Edit_button,116374.372,116666.0268,1,0,291.6548000000039
P1,SWA_Stimulus2,SWA_Stimulus2_Submission_information,116715.9868,117040.9931,1,0,325.0063000000082
P1,SWA_Stimulus2,SWA_Stimulus2_EventInfo,117065.9567,117140.9541,1,0,74.99740000000747
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Editor,117465.9055,117474.2383,0,1,8.332800000003772
P1,SWA_Stimulus2,SWA_Stimulus2_Edit_button,117757.5842,118065.8846,1,1,308.30040000000736
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Task2,118149.1633,119232.4106,5,6,1083.2473000000027
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Editor,119699.0085,120723.9202,3,3,1024.911699999997
P1,SWA_Stimulus2,SWA_Stimulus2_Submission_information,120907.2236,121215.5458,1,0,308.3222000000096
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Control,121682.1299,121898.7739,1,0,216.64400000000023
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Control,121915.4428,122273.7084,1,1,358.2655999999988
P1,SWA_Stimulus2,SWA_Stimulus2_Question,122273.7084,122423.7276,1,0,150.01919999999518
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Control,122448.7965,122707.0357,2,4,258.23919999999634
P1,SWA_Stimulus2,SWA_Stimulus2_Question_Control,122848.6749,122865.3513,0,1,16.676399999996647
P1,SWA_Stimulus2,SWA_Stimulus2_Published_Report_1,123015.2957,123231.9711,1,2,216.6753999999928
P1,SWA_Stimulus2,SWA_Stimulus2_Current_Selection,123231.9711,123715.2394,1,1,483.26830000001064
P1,SWA_Stimulus2,SWA_Stimulus2_EventInfo,124131.8469,125073.408,2,2,941.5610999999917
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_3,125123.4111,125565.062,2,1,441.6509000000078
P1,SWA_Stimulus2,SWA_Stimulus2_Question,126148.3241,126264.9499,1,0,116.6258000000089
P1,SWA_Stimulus2,SWA_Stimulus2_Submission,128298.0955,129089.6795,4,2,791.5840000000026
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_2,129089.6795,129381.2955,1,1,291.61599999999453
P1,SWA_Stimulus2,SWA_Stimulus2_Submission,129539.6417,130281.1794,3,4,741.5377000000008
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_2,130339.5084,131222.7401,2,2,883.2316999999894
P1,SWA_Stimulus2,SWA_Stimulus2_Navigation_2,131364.4074,131506.0725,1,0,141.6651000000129
